method,seed,subject_id,k_shots,accuracy,balanced_accuracy,f1_score,auroc,n_samples,n_class_0,n_class_1,tp,fp,tn,fn
Full-MAML-Uniform,123,S02,5,0.36201550387596904,0.54463866039953,0.20561857693101554,0.5659224441833138,,,,,,,
Full-MAML-Uniform,123,S02,10,0.3826771653543307,0.5445495495495496,0.2635245534243273,0.5621321321321321,,,,,,,
Full-MAML-Uniform,123,S02,20,0.43688524590163935,0.5638314785373609,0.37030247230687874,0.572496025437202,,,,,,,
Full-MAML-Uniform,123,S06,5,0.33148148148148143,0.51825,0.44844682509300127,0.484625,,,,,,,
Full-MAML-Uniform,123,S06,10,0.4685185185185186,0.46575,0.6170645689027457,0.48587499999999995,,,,,,,
Full-MAML-Uniform,123,S06,20,0.624074074074074,0.51525,0.7575808899827547,0.542375,,,,,,,
Full-MAML-Uniform,123,S07,5,0.3171171171171171,0.5695707070707071,0.38711998274690573,0.6937710437710438,,,,,,,
Full-MAML-Uniform,123,S07,10,0.4669724770642202,0.5982817869415807,0.5845926213391597,0.6754295532646049,,,,,,,
Full-MAML-Uniform,123,S07,20,0.5355769230769231,0.5998188405797101,0.6602042602697196,0.6904891304347827,,,,,,,
Full-MAML-Uniform,123,S11,5,0.597,0.597,0.6557861760479154,0.6648799999999999,,,,,,,
Full-MAML-Uniform,123,S11,10,0.41986754966887413,0.5495098039215687,0.25307951049741445,0.6731764705882353,,,,,,,
Full-MAML-Uniform,123,S11,20,0.4589403973509934,0.5602745098039217,0.3759215316311295,0.6567647058823528,,,,,,,
Full-MAML-Uniform,123,S12,5,0.35625,0.5521739130434783,0.466644121012542,0.5692028985507245,,,,,,,
Full-MAML-Uniform,123,S12,10,0.4442622950819672,0.5815891472868218,0.4932722384067188,0.5918604651162791,,,,,,,
Full-MAML-Uniform,123,S12,20,0.5017857142857143,0.5714912280701755,0.4953401993425448,0.5915204678362573,,,,,,,
Full-MAML-Uniform,123,S13,5,0.5995,0.5995,0.6428761308791782,0.64096,,,,,,,
Full-MAML-Uniform,123,S13,10,0.5934999999999999,0.5934999999999999,0.6332631420909249,0.6294600000000001,,,,,,,
Full-MAML-Uniform,123,S13,20,0.579,0.579,0.6141143419211598,0.61958,,,,,,,
Full-MAML-Uniform,123,S14,5,0.5495,0.5495,0.594560259619777,0.58705,,,,,,,
Full-MAML-Uniform,123,S14,10,0.5840000000000001,0.5840000000000001,0.5979598514445384,0.6176799999999999,,,,,,,
Full-MAML-Uniform,123,S14,20,0.5690000000000001,0.5690000000000001,0.5788805932245186,0.61406,,,,,,,
Full-MAML-Uniform,123,S16,5,0.3625850340136054,0.5112021276595744,0.1727323441572447,0.576531914893617,,,,,,,
Full-MAML-Uniform,123,S16,10,0.3877551020408163,0.5251914893617021,0.24143350283522044,0.5717446808510637,,,,,,,
Full-MAML-Uniform,123,S16,20,0.42377622377622376,0.5268506205673759,0.3433795754214704,0.5405806737588652,,,,,,,
Full-MAML-Uniform,123,S17,5,0.3653333333333334,0.5135,0.12552043321123754,0.66494,,,,,,,
Full-MAML-Uniform,123,S17,10,0.39266666666666666,0.5330000000000001,0.1966689984537778,0.69314,,,,,,,
Full-MAML-Uniform,123,S17,20,0.42866666666666664,0.5435000000000001,0.31536495766832473,0.69268,,,,,,,
Full-MAML-Uniform,123,S18,5,0.3236363636363636,0.5263501742160278,0.19892285032862755,0.5107578397212544,,,,,,,
Full-MAML-Uniform,123,S18,10,0.36261682242990656,0.5314647377938517,0.28962717775942537,0.5179475587703436,,,,,,,
Full-MAML-Uniform,123,S18,20,0.3872549019607843,0.5133204633204633,0.3548677491446116,0.5153474903474903,,,,,,,
Full-MAML-Uniform,123,S20,5,0.33720930232558144,0.5518681318681319,0.23089106307121682,0.64996336996337,,,,,,,
Full-MAML-Uniform,123,S20,10,0.4357142857142858,0.5904761904761904,0.42512760987496856,0.6337112622826908,,,,,,,
Full-MAML-Uniform,123,S20,20,0.4886075949367089,0.6000821018062397,0.5052554460284455,0.6330049261083743,,,,,,,
Full-MAML-Uniform,123,S21,5,0.8275862068965518,0.837962962962963,0.8970427311815881,0.9092592592592592,,,,,,,
Full-MAML-Uniform,123,S21,10,0.8629629629629629,0.765,0.920863931468727,0.892,,,,,,,
Full-MAML-Uniform,123,S21,20,0.8636363636363636,0.6325,0.9235084332452754,0.885,,,,,,,
Full-MAML-Uniform,123,S22,5,0.48,0.5488095238095237,0.5642591244927173,0.5797619047619047,,,,,,,
Full-MAML-Uniform,123,S22,10,0.6608695652173914,0.5578947368421052,0.7706137219543359,0.5381578947368421,,,,,,,
Full-MAML-Uniform,123,S22,20,0.7611111111111112,0.6053571428571429,0.851456821512439,0.5446428571428571,,,,,,,
Full-MAML-Uniform,123,S23,5,0.534,0.534,0.607158456183248,0.5692499999999999,,,,,,,
Full-MAML-Uniform,123,S23,10,0.5565000000000001,0.5565,0.5899106117006703,0.5727,,,,,,,
Full-MAML-Uniform,123,S23,20,0.4309677419354839,0.5299545454545455,0.29889707328207804,0.5793454545454546,,,,,,,
Full-MAML-Uniform,123,S24,5,0.33857142857142863,0.5235000000000001,0.16492860123615818,0.6311749999999999,,,,,,,
Full-MAML-Uniform,123,S24,10,0.36071428571428565,0.5217499999999999,0.2445127298016767,0.619375,,,,,,,
Full-MAML-Uniform,123,S24,20,0.4107142857142857,0.5417500000000001,0.35767048614521235,0.6383499999999999,,,,,,,
Full-MAML-Uniform,123,S26,5,0.34134615384615385,0.5062526675202731,0.1015341330309238,0.5462654716175843,,,,,,,
Full-MAML-Uniform,123,S26,10,0.3568627450980392,0.49696969696969695,0.1707914613720723,0.5465963987703117,,,,,,,
Full-MAML-Uniform,123,S26,20,0.4206185567010309,0.5029592803030303,0.35215099123951527,0.5039299242424243,,,,,,,
